err;fourier;sep;slepians 4
10;0.9221;0.7456;0.6072
30;0.8297;0.4059;0.2545
50;0.7609;0.1986;0.1359
70;0.7017;0.1147;0.0696
90;0.6494;0.0758;0.0342
110;0.5997;0.0538;0.0184
130;0.5546;0.0390;0.0108
150;0.5132;0.0309;0.0067
170;0.4760;0.0245;0.0044
190;0.4410;0.0195;0.0030
210;0.4071;0.0160;0.0021
230;0.3745;0.0131;0.0016
250;0.3437;0.0108;0.0014
270;0.3147;0.0089;0.0013
290;0.2861;0.0073;0.0013
310;0.2591;0.0060;0.0013
330;0.2338;0.0049;0.0013
350;0.2095;0.0040;0.0013
370;0.1859;0.0032;0.0013
390;0.1635;0.0027;0.0013
410;0.1423;0.0023;0.0013
430;0.1229;0.0019;0.0013
450;0.1046;0.0017;0.0013
470;0.0884;0.0015;0.0013
490;0.0736;0.0014;0.0013
