err;fourier;sep;slepians 4
10;0.9221;0.7456;0.6072
30;0.8297;0.4059;0.2545
50;0.7610;0.1968;0.1361
70;0.7017;0.1103;0.0701
90;0.6495;0.0707;0.0361
110;0.5998;0.0517;0.0203
130;0.5547;0.0397;0.0140
150;0.5133;0.0316;0.0119
170;0.4762;0.0255;0.0117
190;0.4411;0.0215;0.0119
210;0.4073;0.0187;0.0121
230;0.3747;0.0167;0.0123
250;0.3439;0.0155;0.0124
270;0.3150;0.0146;0.0125
290;0.2864;0.0141;0.0126
310;0.2594;0.0136;0.0126
330;0.2342;0.0134;0.0126
350;0.2099;0.0132;0.0126
370;0.1863;0.0131;0.0127
390;0.1640;0.0129;0.0127
410;0.1429;0.0128;0.0127
430;0.1236;0.0128;0.0127
450;0.1053;0.0127;0.0127
470;0.0893;0.0127;0.0127
490;0.0747;0.0127;0.0127
